X13A1 X13A2 X13A3 IC39A1 IC39A2 IC39A3 genenames
37 32 24 42 52 54 ATP2B2
153 118 137 156 200 210 SLC6A11
288 151 194 439 530 598 SLC6A1
1124 884 1014 766 927 875 ATG7
3095 2347 2895 1971 2366 2646 VGLL4
33 26 21 40 53 43 NA
921 840 855 606 751 761 TAMM41
96 89 110 130 134 167 SYN2
17 11 13 105 114 126 TIMP4
1830 1557 1750 1415 1556 1629 TSEN2
106 107 83 102 100 99 MKRN2OS
977 824 900 598 712 786 MKRN2
3977 3376 3659 3871 4389 4684 RAF1
763 577 648 513 628 726 CAND2
67 68 58 56 60 84 NA
45281 38205 45336 11258 14862 14866 RPL32
3375 2686 2944 2906 3700 4164 IQSEC1
11 10 8 53 72 93 NA
5578 5001 5332 3402 4362 4669 NUP210
468 384 434 270 321 328 HDAC11
81 53 47 51 44 33 NA
1234 1066 1154 218 301 312 FBLN2
762 522 548 297 339 399 WNT7A
610 500 617 300 341 372 CHCHD4
2492 2203 2333 2265 2586 2700 TMEM43
80 60 39 52 64 71 NA
248 216 213 162 183 218 NA
1744 1391 1639 1114 1219 1431 XPC
2357 2333 2715 1538 1745 1883 LSM3
2063 1724 1966 1063 1123 1301 SLC6A6
19 27 28 32 41 32 NA
314 236 293 272 321 381 GRIP2
1630 1311 1451 1046 1115 1219 CCDC174
36 31 37 57 76 66 C3orf20
69 75 78 100 133 117 FGD5
7901 6902 7869 7159 7829 7651 FGD5-AS1
795 637 629 691 785 854 NR2C2
1439 1122 1152 1050 1198 1379 MRPS25
43 28 34 38 31 38 NA
1199 956 1094 1170 1334 1272 RBSN
3521 2903 3268 2092 2377 2565 CAPN7
267 216 269 343 376 442 SH3BP5-AS1
83 73 57 151 192 211 SH3BP5
1429 1306 1404 1084 1147 1121 METTL6
1036 902 923 876 1013 1083 EAF1
277 233 259 265 276 288 COLQ
1131 893 1038 450 562 523 HACL1
905 811 839 593 688 709 BTD
2991 2655 3060 1775 1952 2115 ANKRD28
911 717 840 348 621 609 RN7SL4P
44 49 44 46 70 67 NA
1587 1390 1677 1572 1506 1539 DPH3
1186 1018 1229 813 970 1020 OXNAD1
88 46 48 47 50 50 NA
387 355 375 1629 1812 2034 RFTN1
52 43 52 63 79 86 NA
39 27 27 53 64 76 NA
30 37 34 54 78 98 NA
26 31 17 39 59 41 NA
5 4 2 25 41 51 NA
149 152 175 22 22 16 DAZL
195 168 147 11 9 16 NA
2006 1486 1771 1339 1372 1595 PLCL2
63 59 56 22 39 36 NA
50 33 35 42 55 51 NA
4256 3642 4060 3445 3598 3704 TBC1D5
374 297 339 11 7 14 NA
59 56 60 5 1 2 NA
48 48 25 2 4 1 NA
44 45 46 7 5 3 NA
90 50 69 1 1 1 NA
4589 3411 3717 2369 2537 2779 SATB1
191 174 189 19 21 49 NA
127 80 116 3 3 0 NA
118 64 91 17 29 32 NA
1469 1163 1223 809 956 951 KCNH8
35 22 37 39 65 47 NA
66 59 79 31 29 37 EFHB
3310 2825 3297 1766 2099 2301 RAB5A
395 314 390 257 244 276 NA
110 81 87 69 92 97 PP2D1
1367 1176 1313 787 793 979 KAT2B
1445 1283 1386 974 1031 1110 SGO1
57 58 49 37 51 27 SGO1-AS1
78 110 111 245 281 312 ZNF385D
1768 1387 1604 633 745 798 UBE2E2
39 52 73 23 18 26 NA
1856 1508 1777 890 1131 1234 UBE2E1
37 24 40 34 53 53 NA
687 591 669 574 636 645 NKIRAS1
88454 73316 84613 26983 31416 31266 RPL15
2493 2057 2393 959 1003 1021 NR1D2
524 486 492 221 241 291 RARB
27431 23845 27367 25482 26770 29139 TOP2B
1891 1616 1949 1316 1451 1428 NGLY1
56 35 58 35 54 46 NA
320 263 263 165 174 164 OXSM
3 7 11 60 58 45 NA
50 36 57 562 701 664 LRRC3B
111 97 102 214 220 266 NEK10
28 26 36 40 53 48 NA
10106 7929 9399 4775 5197 5420 SLC4A7
53 36 44 43 40 55 RPS20P15
1 2 1 44 60 47 NA
146 90 129 2368 2724 2851 EOMES
348 285 275 78 88 145 LINC01980
47 50 35 28 46 31 LINC01981
440 359 349 61 58 69 NA
750 639 731 383 393 488 CMC1
1006 826 909 700 750 834 AZI2
47 52 23 20 29 38 ZCWPW2
1074 805 958 225 260 242 RBMS3
668 543 637 211 306 303 TGFBR2
172 130 176 42 53 40 NA
11903 10127 11613 7900 8721 8990 STT3B
214 228 244 250 306 332 OSBPL10
253 219 212 407 399 510 GPD1L
77 58 80 16 18 27 CMTM8
1176 1019 1009 319 428 520 CMTM7
3147 2830 3174 2122 2489 2572 CMTM6
4115 3445 3998 2566 2752 3068 DYNC1LI1
132 115 124 63 112 100 NA
2191 1920 2274 1621 1743 1868 CNOT10
54 41 43 43 51 45 SUGT1P2
467 382 494 157 169 207 NA
809 641 761 174 247 264 NA
16292 14631 16605 4340 5004 5035 TRIM71
1938 1503 1845 963 1095 1173 GLB1
207 231 217 202 248 240 TMPPE
2893 2304 2742 1288 1530 1632 CRTAP
51 58 72 107 128 119 SUSD5
867 739 720 969 1027 1026 FBXL2
5291 4647 5239 4090 4498 4723 UBP1
1762 1443 1604 542 593 710 LOC124909363
8124 6428 7278 8722 9543 9793 CLASP2
63 53 77 60 65 60 PDCD6IP-DT
7856 6705 7645 3913 4336 4380 PDCD6IP
10 14 10 258 292 300 ARPP21
212 143 229 150 183 204 STAC
35 22 24 32 48 52 DCLK3
2120 1641 1855 1108 1236 1385 TRANK1
10012 8231 9423 5874 6205 6503 EPM2AIP1
3438 3175 3600 2843 3071 3160 MLH1
73 78 75 49 76 78 NA
2628 2309 2521 2680 2837 3195 LRRFIP2
58 48 32 24 26 35 NA
71 51 66 44 60 42 NA
109 92 105 56 55 62 GOLGA4-AS1
6937 5667 7301 4508 4335 4969 GOLGA4
84 47 65 48 42 55 NA
157 98 137 84 145 128 APRG1
359 275 308 213 312 290 ITGA9
524 415 405 323 361 387 ITGA9-AS1
1820 1565 1823 785 919 995 CTDSPL
100 95 79 59 93 95 NA
154 140 175 217 252 267 VILL
2449 1969 2054 836 1075 1152 PLCD1
161 124 112 234 243 293 DLEC1
1001 881 992 689 775 864 ACAA1
858 761 800 683 859 939 MYD88
5198 4513 5245 3639 3835 4128 OXSR1
354 308 337 351 406 499 XYLB
268 243 231 128 130 169 ACVR2B-AS1
17204 14654 16623 13029 13730 14893 ACVR2B
1354 1151 1181 1155 1360 1371 EXOG
59 43 51 72 100 76 RPL18AP7
22 13 19 94 129 167 SCN5A
142 109 126 68 93 97 SCN11A
4197 3601 4164 2691 2882 3147 WDR48
1869 1588 1797 957 1177 1211 GORASP1
345 266 296 264 293 328 TTC21A
92 81 98 36 50 45 CSRNP1
56 46 51 17 10 19 NA
196 142 188 46 51 63 LOC105377035
55 54 55 27 40 21 NA
944 865 894 502 584 613 SLC25A38
58330 47876 54828 17453 21306 21010 RPSA
76 50 77 137 97 168 MYRIP
623 455 494 337 369 356 ENTPD3-AS1
2754 2238 2432 1259 1550 1684 EIF1B
53 50 52 47 59 40 ENTPD3
26189 23032 26430 10362 12433 13012 RPL14
241 192 201 369 403 422 ZNF619
1176 962 1137 1018 1118 1178 ZNF620
2681 2074 2356 1593 1892 2026 ZNF621
41381 35254 39450 23428 25991 26070 CTNNB1
213 179 191 209 252 227 NA
809 792 887 741 906 892 ULK4
5953 4701 5296 4853 5824 6516 TRAK1
30 16 31 38 41 38 RPL7AP83
30 36 31 57 56 57 NA
2510 2096 2281 2282 2368 2456 SEC22C
1171 1123 1177 532 566 528 SS18L2
109 88 83 97 105 125 NA
10308 8241 9452 8181 8707 9337 NKTR
1202 1027 1124 1003 1052 1025 NA
417 381 389 259 391 383 ZBTB47
2915 2467 2959 1451 1564 1457 HIGD1A
126 88 129 79 99 115 GASK1A
860 710 742 484 673 773 POMGNT2
1550 1204 1442 1261 1367 1536 SNRK
35 35 52 115 103 108 NA
2067 1619 1934 1152 1338 1439 ANO10
789 722 824 802 869 873 ABHD5
5 6 12 31 73 35 NA
4 5 11 34 46 64 NA
20 16 19 115 127 128 NA
1490 1332 1427 1049 1228 1211 TCAIM
7891 6114 6818 6090 6873 7472 ZNF445
96 87 103 92 123 138 NA
1632 1393 1519 1558 1703 1691 ZNF852
683 617 633 648 754 864 ZKSCAN7-AS1
460 383 455 763 777 849 ZKSCAN7
1497 1374 1513 1719 1818 1867 ZNF660
59 36 55 79 88 125 NA
3226 2727 3108 3023 3285 3564 ZNF197
1103 970 1089 956 892 1094 ZNF35
237 204 240 294 332 363 NA
333 277 314 480 506 550 ZNF502
608 551 664 330 288 318 ZNF501
4620 3987 4341 2131 2372 2420 KIAA1143
6817 5820 6947 4832 4841 5177 KIF15
17 21 27 33 31 44 NA
821 709 701 276 336 339 TMEM42
2760 2448 2683 1980 2352 2457 ZDHHC3
1520 1377 1578 657 761 822 EXOSC7
122 99 117 304 365 390 TMEM158
2070 1823 2087 1678 1919 2132 LARS2
53 42 53 35 64 43 NA
735 659 771 651 814 862 LIMD1
58 42 40 34 38 36 NA
4167 3683 4186 2737 2945 3053 SACM1L
80 83 75 93 114 97 NA
1472 1217 1406 1038 1051 1058 LZTFL1
2233 1863 1858 910 1090 1262 FYCO1
257 223 191 97 118 99 CXCR6
62 49 52 14 22 19 ALS2CL
1504 1303 1460 803 932 1161 CCDC12
838 734 769 428 499 658 NBEAL2
8850 7304 8098 6998 7747 8193 SETD2
488 391 396 467 540 533 NA
235 212 258 226 316 304 KIF9
1418 1284 1355 1154 1448 1473 KLHL18
217 204 183 243 245 295 NA
87 100 82 116 99 97 NA
96 84 99 58 66 67 PTPN23-DT
2114 1840 1963 1425 2123 2421 PTPN23
3441 2947 3062 2281 3177 3532 SCAP
1124 1115 1236 857 1094 1187 ELP6
1853 1416 1531 830 926 1154 CSPG5
24235 21547 24433 18275 20021 21747 SMARCC1
125 83 100 143 177 141 NA
28 42 28 35 41 55 NA
4239 3712 4191 3166 3966 4208 DHX30
16061 13463 14732 13908 15701 17438 MAP4
32 43 40 41 57 45 VPS26BP1
3850 3439 3948 2345 2728 2769 CDC25A
3391 2888 3092 1478 1598 1747 ZNF589
1007 786 885 1029 1199 1355 NME6
179 124 148 75 99 99 NA
60 38 43 33 29 32 SPINK8
120 89 85 88 94 116 FBXW12
4711 4182 4378 6113 7805 9037 PLXNB1
366 340 431 223 275 330 CCDC51
1131 992 1249 804 963 941 TMA7
757 630 698 507 584 664 ATRIP
2751 2280 2427 1979 2706 3007 SHISA5
739 624 708 635 780 802 PFKFB4
1332 1107 1124 732 947 1112 COL7A1
5535 4853 5317 3191 4209 4539 UQCRC1
29 26 29 36 36 28 TMEM89
838 731 774 413 514 597 SLC26A6
2942 2545 2829 3831 4869 5405 CELSR3
241 184 241 149 228 244 NA
797 700 646 520 742 775 NCKIPSD
5384 4336 4946 3428 3889 4405 IP6K2
2986 2505 2895 2946 3223 3315 PRKAR2A
52 52 48 28 20 27 PRKAR2A-AS1
272 229 218 188 275 311 SLC25A20
59 57 46 29 42 40 NA
2735 2265 2675 2323 2793 2955 ARIH2
37 33 47 64 70 93 LOC124909376
1090 910 935 627 692 790 P4HTM
67 66 90 59 56 55 NA
6795 5557 5900 4646 6044 6445 WDR6
611 520 536 410 542 605 DALRD3
789 544 688 272 472 544 NDUFAF3
203 189 208 137 199 226 IMPDH2
644 495 588 309 434 369 QRICH1
10355 8151 8908 4161 5258 5450 QARS1
2794 2323 2556 2035 2450 2519 USP19
5082 4323 4543 3648 4683 5075 LAMB2
71 67 63 35 29 28 LOC124909377
290 182 198 91 113 156 NA
776 720 753 503 680 739 CCDC71
2113 1751 1814 1254 1681 1681 KLHDC8B
27 9 26 41 47 33 IHO1
176 179 186 287 331 357 C3orf62
3206 2818 3049 2528 2927 3072 USP4
212 153 243 82 153 237 GPX1
9924 8702 9451 6023 6714 6621 RHOA
345 304 303 201 245 301 TCTA
67 52 64 16 27 22 AMT
6246 5696 6242 5196 5940 6555 DAG1
1121 1100 1150 2342 3268 3995 BSN
4094 3689 3933 2166 2799 2974 APEH
365 300 294 190 276 317 MST1
1010 874 943 790 1066 1130 RNF123
604 577 613 543 754 792 GMPPB
2443 2163 2387 2380 2869 3055 IP6K1
35 13 22 39 41 41 NA
100 62 71 28 47 50 UBA7
1049 951 1073 622 808 798 TRAIP
2642 2136 2275 1205 1356 1537 CAMKV
27 24 18 31 32 52 MST1R
311 281 253 317 394 493 MON1A
5159 4269 4932 4967 5353 5873 RBM6
7538 5732 6426 4986 5465 5848 RBM5
46 42 43 28 51 62 RBM5-AS1
75 74 65 85 83 116 SEMA3F-AS1
406 306 280 224 303 312 SEMA3F
83 66 77 60 102 91 SLC38A3
14544 11664 12889 7702 9617 10916 GNAI2
85 69 82 54 63 71 NA
66 65 74 88 105 116 NA
84 55 51 79 105 107 SEMA3B
468 455 502 287 356 378 IFRD2
113 79 92 52 52 65 HYAL3
375 302 296 93 110 129 NAA80
147 98 129 110 145 143 HYAL1
997 917 906 692 951 1008 HYAL2
1087 946 1101 631 863 946 TUSC2
639 479 514 375 451 476 RASSF1
18 13 30 85 104 137 ZMYND10
1029 786 921 443 594 637 NPRL2
173 126 129 112 127 131 CYB561D2
903 768 845 507 781 871 TMEM115
923 719 768 702 849 1033 CACNA2D2
54 32 58 21 19 20 NA
738 533 580 365 426 456 C3orf18
1768 1327 1482 946 1133 1232 HEMK1
104 126 107 94 140 144 CISH
1582 1431 1448 885 1031 1014 MAPKAPK3
71 74 83 104 104 135 NA
1226 907 1020 1111 1328 1456 DOCK3
84 79 70 54 52 54 NA
1816 1501 1769 1420 1740 1700 MANF
6234 5350 6074 4888 6149 6808 RBM15B
3077 2629 2879 2229 2511 2619 DCAF1
5126 4485 4940 4550 5165 5270 RAD54L2
168 138 136 201 219 221 NA
331 334 377 272 368 401 TEX264
549 438 491 281 330 359 GRM2
63 57 55 44 46 52 NA
451 489 557 309 415 477 RRP9
126 127 128 83 119 119 PARP3
26 33 21 35 51 50 NA
38 27 18 26 46 59 GPR62
3851 2927 3083 2531 3648 4281 PCBP4
382 362 351 90 126 131 ABHD14B
158 126 146 100 113 143 ABHD14A
41139 33330 40069 10225 13346 12684 RPL29
1023 868 988 590 697 812 DUSP7
47 34 47 31 39 37 NA
883 816 800 526 680 733 POC1A
1597 1296 1399 939 1159 1237 ALAS1
323 276 293 189 313 307 TWF2
46 75 64 26 22 29 TWF2-DT
262 211 225 195 238 249 PPM1M
7408 6189 7170 8282 9013 9695 WDR82
396 330 421 834 986 1130 GLYCTK
172 114 135 338 399 405 NA
30 13 26 31 51 47 NA
515 489 469 513 755 774 DNAH1
3536 2957 3436 2625 3318 3466 BAP1
562 431 493 172 190 196 PHF7
6693 5748 6005 4896 6020 6743 NISCH
5847 5080 5733 3086 4006 4636 NT5DC2
405 363 434 233 317 332 UQCC5
7947 6953 7832 9337 10318 11186 PBRM1
4570 4034 4941 2588 2679 2878 GNL3
2321 1862 2142 1766 1960 2070 GLT8D1
2272 2087 2252 1063 1398 1281 SPCS1
1830 1726 1866 2065 2326 2363 NEK4
93 63 56 126 109 98 NA
22 18 16 45 33 41 AK3P7
26 22 17 31 53 40 NA
45 42 41 48 52 59 NA
53 28 39 34 48 58 STIMATE
72 49 52 55 73 60 NA
91 75 76 84 81 74 NA
1209 1067 1225 1111 1264 1246 SFMBT1
1017 891 924 589 668 735 RFT1
158 142 141 55 47 69 PRKCD
17012 14185 15536 5435 6850 7667 TKT
50 36 31 45 52 56 LOC107986087
3315 2762 3106 2173 2415 2530 DCP1A
94 69 65 166 143 173 CACNA1D
156 171 184 96 124 146 CHDH
319 347 343 234 254 276 IL17RB
285 219 288 291 335 394 NA
2245 1898 2163 1618 1840 1930 ACTR8
1354 1233 1406 818 905 899 SELENOK
12 9 7 47 62 60 CACNA2D3
2746 2362 2778 4736 5050 5234 WNT5A
241 191 217 350 378 433 WNT5A-AS1
1149 908 1053 1350 1517 1640 ERC2
28 12 20 17 40 48 NA
25 14 30 37 59 41 ERC2-IT1
2531 2285 2520 2002 2155 2247 CCDC66
6523 5728 6438 5894 6361 6890 TASOR
108 101 88 307 322 313 ARHGEF3
15 28 26 93 122 125 SPATA12
6157 5528 6222 19117 21516 22331 IL17RD
28 24 19 73 92 101 NA
18 11 15 53 67 63 RPL19P2
90 75 60 55 95 72 HESX1
2662 2304 2666 2339 2506 2603 APPL1
101 72 73 95 124 106 ASB14
35 33 22 90 74 68 DNAH12
1500 1444 1427 1410 1414 1484 PDE12
6833 5946 6710 4183 4593 4542 ARF4
2672 2194 2494 2026 2223 2123 DENND6A
2998 2571 2956 2369 2662 2800 SLMAP
6995 6071 6605 3095 3536 3951 FLNB
237 181 183 324 359 363 ABHD6
567 544 628 476 549 556 RPP14
778 665 743 686 700 724 PXK
1718 1554 1730 959 985 1137 PDHB
1357 1073 1253 876 953 930 KCTD6
58 69 73 44 46 36 ACOX2
534 425 503 775 897 949 FAM107A
827 684 736 262 284 301 CFAP20DC
407 312 312 74 88 118 FHIT
2990 2655 2979 7351 7971 8487 PTPRG
17 13 20 42 46 80 NA
58 49 52 31 20 36 RPL10AP6
16 8 12 29 44 51 NA
13 10 10 37 43 57 NA
424 415 430 751 771 898 PTPRG-AS1
545 480 642 906 1153 1094 CEP15
59 43 56 1953 2474 2765 FEZF2
375 294 316 2927 3398 3730 CADPS
14 7 12 94 119 139 SYNPR
45 46 42 66 69 68 C3orf49
2241 2029 2546 1100 1277 1364 THOC7
83 64 60 58 62 55 THOC7-AS1
3392 2880 3286 2876 3061 3281 ATXN7
285 185 246 201 265 271 PSMD6-AS2
101 93 92 95 112 82 NA
4470 4025 4650 2968 3346 3457 PSMD6
375 351 380 340 373 452 PRICKLE2
808 702 842 1884 2100 2226 ADAMTS9
55 85 67 142 156 190 ADAMTS9-AS1
166 133 149 154 190 192 ADAMTS9-AS2
5366 4833 5344 9757 10922 11901 MAGI1
46 43 52 162 195 207 NA
26 20 12 37 51 51 NA
71 38 46 55 71 97 MAGI1-IT1
46 32 37 28 71 58 MAGI1-AS1
1207 1053 1115 1174 1404 1476 SLC25A26
2283 2038 2093 3771 4694 5378 LRIG1
701 629 773 290 298 370 KBTBD8
3784 3262 3638 1393 1428 1514 SUCLG2
191 171 203 133 163 168 SUCLG2-DT
4 3 7 75 108 96 TAFA1
249 193 240 91 91 101 TAFA4
477 466 476 391 461 455 EOGT
101 81 83 77 67 85 NA
1972 1712 2022 1111 1224 1270 TMF1
2320 2020 2417 1632 1755 1719 UBA3
3193 2510 2853 2386 2455 2537 ARL6IP5
3494 2727 2956 2324 2402 2511 FRMD4B
42 39 37 116 125 126 MITF
2131 1854 2082 2338 2558 2704 FOXP1
132 92 123 109 98 129 NA
80 50 68 39 47 61 LOC105377155
146 119 123 73 98 78 NA
2165 1870 2026 1518 1707 1802 EIF4E3
1101 877 981 530 635 616 GPR27
36 26 49 25 48 29 PROK2
111 89 94 86 121 104 LINC00877
2319 2133 2397 2514 2745 2969 RYBP
624 543 689 733 973 942 SHQ1
42 37 39 118 116 127 GXYLT2
8105 6990 8405 4939 5113 5086 PPP4R2
275 245 286 210 226 278 EBLN2
1400 1309 1418 1661 1952 2152 PDZRN3
19 16 13 29 38 41 RNU7-119P
63 44 69 45 56 77 PDZRN3-AS1
213 167 191 137 165 191 CNTN3
61 45 60 32 45 36 NA
163 159 156 145 140 166 FAM86DP
260 166 232 302 343 393 LINC02018
183 113 123 41 32 53 NA
57 57 49 64 82 89 LINC00960
544 451 494 2058 2319 2541 ROBO2
8948 7441 8181 12020 13059 14468 ROBO1
48 33 40 77 97 100 NA
18 17 11 41 48 49 NA
28 24 36 31 58 68 RN7SL751P
22 9 21 123 129 158 NA
1362 1156 1344 929 984 1002 GBE1
1891 1696 2029 999 1112 1190 CADM2
4306 4488 5304 1902 1831 1954 VGLL3
2324 2060 2406 948 1013 1043 CHMP2B
6988 6424 7451 6383 6516 6636 CGGBP1
1646 1436 1637 1079 1076 1132 ZNF654
57 42 60 37 55 69 NA
2499 2002 2467 1383 1669 1704 C3orf38
8164 6327 7475 3221 3507 3574 EPHA3
53 41 42 41 47 79 NA
2504 1965 2163 724 778 777 PROS1
1548 1329 1497 1218 1347 1354 ARL13B
56 60 67 51 62 75 STX19
649 491 602 447 422 480 DHFR2
1342 1104 1381 852 903 908 NSUN3
33 25 29 35 35 46 RBBP4P2
21 21 21 39 46 52 LOC124909397
172 141 173 457 564 599 EPHA6
723 608 764 601 688 654 ARL6
1368 1110 1246 2437 2625 2876 CRYBG3
981 773 992 590 674 699 RIOX2
4225 3777 4022 2206 2417 2422 CLDND1
1020 808 1027 480 593 565 CPOX
83 61 75 41 41 50 NA
766 601 707 402 443 467 ST3GAL6
14094 11790 13534 10365 10993 11476 DCBLD2
59 56 59 41 45 65 RNU6-26P
119 105 132 77 88 102 LINC00973
54 74 80 12 16 7 LOC124909401
750 782 811 390 504 517 COL8A1
241 186 199 66 66 84 NA
1712 1557 1864 969 1026 1087 CMSS1
728 684 708 506 619 683 FILIP1L
2661 2234 2469 1390 1471 1426 TBC1D23
1674 1410 1556 754 914 934 NIT2
4587 4089 4901 3384 3607 3768 TOMM70
747 624 685 288 387 363 LNP1
872 709 840 150 140 201 TMEM45A
5711 5271 5514 4239 5085 5108 TFG
232 200 232 131 179 134 ABI3BP
51 39 42 123 141 138 IMPG2
4492 3450 4121 3753 3925 4054 SENP7
72 64 67 89 97 109 NA
44 33 28 31 41 47 NA
1527 1474 1710 936 1008 1058 TRMT10C
7682 6809 7971 4739 5004 4890 PCNP
234 173 197 90 143 137 RPS18P5
27 30 32 34 39 45 NA
2721 2265 2769 1902 1986 2099 ZBTB11
139 123 122 109 123 123 ZBTB11-AS1
39004 33297 39137 11238 14075 14085 RPL24
1303 1002 1065 864 944 1018 LOC124906262
4252 3486 4113 3054 3289 3386 CEP97
2691 2219 2610 1987 2318 2430 NXPE3
612 511 616 226 300 274 NFKBIZ
2384 1812 2183 1089 1141 1172 ALCAM
3419 2839 3025 2784 3281 3530 CBLB
130 114 177 44 49 50 NA
101 66 67 10 15 20 NA
72 70 68 58 70 74 NA
77 56 63 38 49 53 NA
789 629 751 592 680 778 DUBR
11360 8935 10239 3874 4055 4276 BBX
46 30 30 35 26 40 NA
90 51 95 57 74 61 NA
7213 5619 6170 3211 3492 3427 CD47
2556 2461 2787 1823 2076 2225 IFT57
39 41 67 55 68 81 MYH15
126 140 160 103 98 130 RPL13P8
3458 3047 3791 2583 2853 2905 CIP2A
4709 3994 4798 2776 2834 2896 DZIP3
4771 4653 5186 2159 2373 2403 DPPA4
125 97 114 31 32 40 NA
892 739 874 292 331 404 NA
223 197 223 53 77 77 NA
7210 6173 7133 3064 3295 3522 NECTIN3
1202 913 974 725 790 751 PLCXD2
6908 5864 7096 6458 6995 7425 PHLDB2
35 30 40 54 56 64 NA
3266 2705 3247 2057 2234 2164 ABHD10
2570 2022 2368 2566 3236 3413 TAGLN3
34 29 24 53 53 44 TMPRSS7
101 102 129 110 121 104 C3orf52
89 67 72 47 47 42 SLC9C1
40 52 39 137 181 224 LOC105374042
2591 2110 2410 3256 3541 3817 CD200
42 36 42 37 53 65 NA
76 48 36 71 82 78 LOC105374041
33 21 23 21 45 44 NA
1503 1366 1585 1054 1176 1133 ATG3
2456 2105 2488 2146 2308 2417 SLC35A5
4765 4290 5082 6117 7154 7379 CCDC80
1133 917 1139 706 795 798 GTPBP8
4722 3937 4645 2784 2848 3188 NEPRO
84 66 65 57 79 75 NEPRO-AS1
82 77 90 39 40 51 LOLI1
9309 7723 8383 3798 4551 5283 BOC
1343 1031 1035 556 668 747 NA
362 352 401 571 682 697 CFAP44
30 32 25 51 65 64 NA
384 335 340 320 368 314 SPICE1
61 54 62 24 48 44 SIDT1
3946 3207 3530 3502 3894 4294 USF3
109 84 109 50 53 60 NA
9428 8425 9557 5442 5723 5766 NAA50
114 89 77 63 71 98 NA
4416 3808 4193 3426 3576 3784 ATP6V1A
860 671 810 319 394 400 GRAMD1C
43 43 41 64 42 76 ZDHHC23
893 663 771 610 697 721 CCDC191
1512 1460 1577 1195 1306 1432 QTRT2
60 65 81 2 1 0 DRD3
14 11 13 38 48 46 TIGIT
3710 2955 3314 3124 3575 4102 ZBTB20
458 404 394 423 497 571 ZBTB20-AS1
68 62 57 85 80 88 ZBTB20-AS5
97 57 65 44 30 48 NA
1487 1175 1332 6361 7248 7635 GAP43
10 10 6 36 43 55 LOC124909412
36 32 36 21 41 47 NA
6539 4961 5380 4540 4769 5367 LSAMP
41 26 15 45 37 46 NA
105 68 69 123 142 169 LSAMP-AS1
56 37 57 35 57 49 NA
14 15 15 27 52 45 NA
33 13 27 41 57 43 LINC02024
161 142 160 128 170 144 IGSF11
1042 879 999 437 521 541 B4GALT4
397 337 448 959 1086 1177 ARHGAP31
29 23 24 66 66 67 ARHGAP31-AS1
2539 1946 2293 1307 1450 1440 TMEM39A
1854 1535 1693 1195 1236 1320 POGLUT1
2335 1923 2310 1181 1416 1393 TIMMDC1
100 90 90 85 118 115 ADPRH
35 28 30 42 42 41 POPDC2
870 779 856 506 591 641 COX17
126 101 103 97 89 93 NA
749 619 778 468 464 529 CFAP91
10496 8935 9679 9180 10198 10937 GSK3B
33 29 43 44 52 40 NA
23 26 20 34 37 48 NA
31 23 22 42 60 82 PARLP1
18 17 16 38 30 43 RFKP3
852 750 867 484 576 560 GSK3B-DT
122 123 124 57 70 90 GPR156
2069 1817 2188 1160 1325 1299 LRRC58
186 176 175 124 111 107 BTNL12P
23776 19673 22309 8402 9411 9362 FSTL1
101 102 111 59 68 76 NA
4302 3591 4032 1850 2290 2234 NDUFB4
71 75 129 72 59 61 HGD
1016 943 1062 972 1017 1078 RABL3
1542 1381 1556 915 1004 1022 GTF2E1
1285 1099 1235 1290 1390 1316 STXBP5L
28 34 28 39 53 61 NA
3511 2979 3362 2342 2540 2619 POLQ
12938 11037 13720 8183 8111 9081 GOLGB1
86 65 83 25 41 22 NA
4562 3924 4710 2141 2139 2137 IQCB1
199 185 212 137 122 135 EAF2
162 127 128 313 318 316 SLC15A2
939 852 1011 537 565 645 MIX23
1386 1203 1412 488 553 596 FAM162A
690 603 642 378 391 388 WDR5B
331 288 336 271 328 311 WDR5B-DT
61 65 70 30 52 66 NA
3482 2963 3523 2661 3089 3177 KPNA1
444 348 423 149 143 169 PARP9
465 422 442 192 189 189 DTX3L
1829 1658 1777 1244 1375 1395 PARP14
870 703 866 522 518 578 HSPBAP1
904 748 837 491 599 629 SLC49A4
153 127 142 107 122 112 NA
585 466 558 328 383 467 LINC02035
8000 6350 6781 4398 5816 6385 SEMA5B
174 124 128 115 165 154 NA
1037 872 941 422 535 616 PDIA5
696 612 685 445 557 522 SEC22A
330 240 224 332 448 512 ADCY5
1382 1311 1457 1104 1236 1211 HACD2
1017 801 934 573 645 748 MYLK-AS1
2052 1862 2093 1646 1816 2109 MYLK
18312 14390 16904 10329 10916 11842 CCDC14
2503 2036 2229 6315 7486 8239 KALRN
26 9 19 53 81 62 NA
2613 2276 2672 1859 2000 2139 UMPS
1563 1442 1579 3399 3846 4216 ITGB5
24 22 39 54 64 70 NA
10 3 9 29 43 41 ENO1P3
3670 3366 3656 2739 3260 3295 HEG1
156 159 174 139 171 194 SLC12A8
5952 4917 5753 4077 4472 4557 ZNF148
47 32 33 64 85 91 DNAJB6P7
2510 2046 2619 1983 1941 2082 SNX4
2024 1731 2007 2002 1948 2050 OSBPL11
48 57 57 56 54 43 NA
213 146 168 290 292 344 LOC105374312
427 341 361 512 599 640 LINC02614
67 58 62 33 63 50 FAM86JP
26 29 27 35 56 46 ALG1L1P
15 11 13 37 36 29 ROPN1B
1780 1443 1573 1141 1361 1446 SLC41A3
50 40 43 32 27 30 ALDH1L1-AS1
